title	description	dataset_identifier	disease	authors	created	modified	accessed	landing_page	access_page	format	conforms_to	license	geography	apollo_location_code	iso_3166	iso_3166_1	iso_3166_1_alpha_3	apollo_enabled	on_olympus
Vaccination Coverage Reports of the Public Health Authority of the Republic of Slovakia, 2014-2016	This website with data contains data about evaluation of the administrative control of vaccination coverage in the Slovak Republic from 2014 to 2016 in PDF format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 2014-2016, and temporal resolution is yearly. Open access.	MDC:WS-000408	null	Public Health Authority of the Republic of Slovakia	null	null	null	http://www.uvzsr.sk/index.php?option=com_content&view=article&id=2217&Itemid=117	null	PDF	null	null	Slovakia	5033	SK	null	null	null	null
Timor-Leste Health Statistics by WHO, 2002-2015	This website with data contains data about infectious disease from Timor-Leste at country level with a yearly temporal resolution from 2002 to 2015 in CVS, XML, and JSON format. Open access.	MDC:WS-000449	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-TLS?lang=en	null	CSV; XML; JSON	null	null	Timor-Leste	5130	TL	null	null	null	null
Reports on HIV confirmed cases of the Ministry of Health and Sanitation of Sierra Leone	This website with data contains data about HIV testing results in Sierra Leone for 2000, 2005, 2008, 2010, and 2013; years in PDF format. Spatial coverage is country, and spatial resolution is national and district. Temporal coverage is 2000, 2005, 2008, 2010, 2013, and temporal resolution is yearly. Open access.	MDC:WS-000399	null	Ministry of Health and Sanitation of Sierra Leone, Online Portal	null	null	null	https://mohs-portal.net/reports/other-mdas/	null	PDF	null	null	Sierra Leone	11	SL	null	null	null	null
Annual Statistical Bulletins on Infectious Diseases of the Ministry of Health of Zambia, 2009-2012	This website with data contains data about notifiable and communicable diseases in Zambia from 2009 to 2012 year in PDF format. Spatial coverage is country, and spatial resolution is country and province. Temporal coverage is 2009-2012, and temporal resolution is yearly. Open access.	MDC:WS-000524	null	Ministry of Health of Zambia	null	null	null	http://www.moh.gov.zm/	null	PDF	null	null	Zambia	5066	ZM	null	null	null	null
Yearly Epidemiological Bulletins of the Republic of Angola	This website with data contains data about notifiable infectious diseases in Angola from 2014 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country, province. Temporal coverage is 2014-2015, and temporal resolution is yearly. Open access.	MDC:WS-000011	null	Ministry of Health of Angola	null	null	null	http://www.minsa.gov.ao/VerPublicacao.aspx?id=1556	null	PDF	null	null	Angola	4996	AO	null	null	null	null
Rwanda Demographic and Health Survey, 2014-2015	This website with data contains data about vaccination rates, HIV cases, prevalence of acute respiratory infections, fever and diarrhea in Rwanda from 2014 to 2015 year in HTML and PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2014-2015, and temporal resolution is yearly. Open access.	MDC:WS-000378	null	Ministry of Health of Rwanda	null	null	null	http://www.moh.gov.rw/index.php?id=3	null	HTML; PDF	null	null	Rwanda	5078	RW	null	null	null	null
The Rwanda Demographic and Health Survey Data	This website with data contains data about vaccinations, prevalence and treatment of symptoms of ARI, prevalence and treatment of fever and diarrhea in Rwanda for 1992, 1996, 2000, 2005, 2007/08, 2010, 2014/2015 year in PDF, XLS, PPT format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1992, 1996, 2000, 2005, 2007/08, 2010, 2014/2015, and temporal resolution is yearly. Open access.	MDC:WS-000379	null	National Institute of Statistics Rwanda	null	null	null	http://www.statistics.gov.rw/datasource/demographic-and-health-survey-dhs	null	PDF; XLS; PPT	null	null	Rwanda	5078	RW	null	null	null	null
Saint Vincent and the Grenadines Health Statistics by WHO, 2002-2015	This website with data contains data about incidence of tuberculosis per population (2002-2012) from Saint Vincent and the Grenadines at country level with a yearly temporal resolution in CSV, XML, and JSON format. Open access.	MDC:WS-000384	null	World Health Organization	null	null	null	http://apps.who.int/gho/data/node.country.country-VCT?lang=en	null	CSV; XML; JSON	null	null	Saint Vincent and the Grenadines	5069	VC	null	null	null	null
Demographics and Vital Statistics of the Statistical Office of Montenegro	This website with data contains data about demographics, births and deaths in Montenegro from 2000 to 2015 year in XLS format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 2000-2015, and temporal resolution is yearly. Open access.	MDC:WS-000249	null	MONSTAT, Statistical Office of Montenegro	null	null	null	http://www.monstat.org/eng/page.php?id=234&pageid=48	null	XLS	null	null	Montenegro	5187	ME	null	null	null	null
Data on Belize Basic Indicators, 2008-2010, Health Statistics of Belize, 2006 - 2010, Health Statistics Publication, 1999-2007, Health Statistics Publication, 1999-2008, National Malaria Epidemiological Profile, 2008, Malaria Annual Report, 2006, and Annual Communicable Disease Bulletin, 2005.	This website with data contains data about Health Indicators (2008, 2009, & 2010), Health Statistics of Belize (2006-2010, 2004-2008, & 2003-2007) at province or country level with a yearly temporal resolution in PDF format. Open access. health indicators and health statistics except for HIV/AIDS reports.	MDC:WS-000048	null	The Minstry of Health Belize	null	null	null	http://www.health.gov.bz/www/publications/epidemiology-publications	null	PDF	null	null	Belize	5131	BZ	null	null	null	null
Annual Data on HIV and AIDS of the Center of Public Health of Ukraine, 2013-2017	This website with data contains data about monthly incidences of HIV/AIDS in Ukraine by region from 2013 to 2017 year in PDF format. Spatial coverage is country, and spatial resolution is country, subcountry, state. Temporal coverage is 2013-2017,a dntemporal resolution is monthly. Open access.	MDC:WS-000470	null	Center of public health, Ukraine	null	null	null	http://phc.org.ua/pages/diseases/hiv_aids/statistics/hiv-aids-treatment	null	PDF	null	null	Ukraine	4958	UA	null	null	null	null
Weekly Epidemiological Bulletin in Network of Carlos III Health Institute of Spain, 2008-2017	This website with data contains data about reportable infectious diseases in Spain from 2008 to 2017 in PDF format. Spatial coverage is country, and spatial resolution is community. Temporal coverage is 2008-2017, and temporal resolution is yearly. Open access.	MDC:WS-000423	null	Health Institute Carlos III, National Epidemiology Centre	null	null	null	http://www.isciii.es/ISCIII/es/contenidos/fd-servicios-cientifico-tecnicos/fd-vigilancias-alertas/fd-boletines/boletin-epidemiologico-semanal-red.shtml	null	PDF	null	null	Spain	4978	ES	null	null	null	null
Population Data of the Statistical Office of the Slovak Republic	This database contains data about demographic from the Republic of Slovakia for 2011 year in CSV format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2011, and temporal resolution is yearly. Open access.	MDC:WS-000405	null	Statistical Office of the Slovak Republic	null	null	null	http://archiv.statistics.sk/open_data/data/sodb_2011/	null	CSV	null	null	Slovakia	5033	SK	null	null	null	null
Population Data, Mortality, and Communicable Diseases of the Directorate of Health and Social Affairs of New Caledonia	This website with data contains data about communicable or infectious diseases and demographics from New Caledonia at province level from 1996 to 2014 in PDF format in French. Temporal resolution is yearly. Open access.	MDC:WS-000328	null	Directorate of Health and Social Affairs of New Caledonia	null	null	null	http://www.dass.gouv.nc/portal/page/portal/dass/observatoire_sante/situation_sanitaire/rapports_annees_precedentes/Situationsanitaire2012	null	PDF	null	null	New Caledonia	8013	NC	null	null	null	null
Annual Reports on Notifiable Infectious Diseases of the New Zealand Public Health Surveillance, 2013-2016	This website with data contains data about notifiable diseases in New Zealand at country level with a yearly temporal resolution from 2013 to 2016 in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2013-2016, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000330	null	New Zealand Public Health Surveillance	null	null	null	https://surv.esr.cri.nz/surveillance/annual_diseasetables.php	null	XLSX	null	null	New Zealand	5063	NZ	null	null	null	null
Summary Data on Notifiable Infectious Disease of the Government of Australia	This database contains data about notifications of all diseases and selected diseases from Australia at country level with a yearly temporal resolution from 1991 to 2017 as a tabular visualization on the webpage. Open access.	MDC:WS-000024	null	Australian Government Department of Health	null	null	null	http://www9.health.gov.au/cda/source/cda-index.cfm	null	HTML	null	null	Australia	5079	AU	null	null	null	null
The Epidemiological Situation of Rabies in Tunisia by the National Rabies Control Commission	This website with data contains data about cases of rabies and infectious diseases in Tunisia for 2013-2015 and 2010-2014 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2013-2015 and 2010-2014 year, and temporal resolution is yearly and trimestre. Open access.	MDC:WS-000456	null	The National Rabies Control Commission	null	null	null	http://www.rage.tn/Fr/situation-en-tunisie_11_269	null	PDF	null	null	Tunisia	5117	TN	null	null	null	null
Health Profile for Viet Nam by WHO	This website with data contains WHO Global Health Observatory data for Viet Nam at country level with a yearly temporal resolution from 1980 to 2016 in XLSX, CSV, PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1980-2016, and temporal resolution is yearly. Open access.	MDC:WS-000515	null	World Health Organization	null	null	null	http://www.who.int/gho/countries/vnm/country_profiles/en/	null	XLSX; CSV; PDF	null	null	Viet Nam	5129	VN	null	null	null	null
Hepatitis B Virus Regulatory Sequence Database of the University of Otago of New Zealand	This website with data contains Hepatitis B Virus Regulatory Sequence Database from New Zealand at sub-country level inin 2007 in gb, gbk, fasta, msf, and apr format. Spatial coverage is country, and spatial resolution is sub-country. Temporal coverage us 2007, and temporal resolution is yearly. Open access.	MDC:WS-000335	null	The University of Otago in New Zealand	null	null	null	http://lancelot.otago.ac.nz/HBVRegDB/index.php?page=link	null	gb; gbk; fasta; msf; apr	null	null	New Zealand	5063	NZ	null	null	null	null
Data on Notifiable Infectious Diseases and Non-Communicable Diseases of the Government of Bahrain	This website with data contains data about incidences of notifiable communicable diseases and non-communicable diseases in Bahrain from 2006 to 2013 year in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2006-2013, and temporal resolution is yearly. Open access.	MDC:WS-000036	null	Information and eGovernment Authority	null	null	null	http://www.data.gov.bh/en/DataAnalysis/	null	XLSX	null	null	Bahrain	5119	BH	null	null	null	null
Epidemiological Bulletins and Epidemic Situation Reports of the Ministry of Health of Morocco	This website with data contains data about epidemiological situation in Morocco for 2009-2010 and 1990-2008 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2010 and 1990-2008, and temporal resolution is weekly and quarterly. Open access.	MDC:WS-000253	null	Ministry of Health of Morocco	null	null	null	http://www.sante.gov.ma/Publications/Bulletins/Pages/default.aspx	null	PDF	null	null	Morocco	5049	MA	null	null	null	null
Morbidity, HIV, Tuberculosis, Guinea worm cases and Vaccination Coverage in Ghana, 2007-2015	This website with data contains data about morbidity, including prevalence of HIV, tuberculosis, malaria and rate of vaccination coverage in Ghana from 2007 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is national, country. Temporal coverage is 2007-2015, and temporal resolution is yearly. Open access.	MDC:WS-000147	null	Ministry of Health of Ghana	null	null	null	http://www.moh.gov.gh/facts-figures/	null	PDF	null	null	Ghana	5092	GH	null	null	null	null
Demographics, Vaccination rates, Mortality and Infectious Disease Data of the Ministry of Health of Nepal	This website with data contains data about infectious disease and immunization from Nepal at province or country level with a yearly temporal resolution from 2010 to 2015 in PDF format. Open access.	MDC:WS-000320	null	The Department of Health Services, The Ministry of Health of Nepal	null	null	null	http://dohs.gov.np/publications/	null	PDF	null	null	Nepal	5045	NP	null	null	null	null
Weekly Epidemiological Bulletins of the Syrian Ministry of Health, 2012-2015	This website with data contains data about incidences of infectious diseases in Syria from 2012 to 2015 year in PDF format. Spatial coverage is country, and spatial resoution is country and governorate. Temporal coverage is 2012-2015, and temporal resolution is weekly. Open access.	MDC:WS-000436	null	Early Warning Alert and Response System (EWARS), Syrian Ministry of Health	null	null	null	http://www.moh.gov.sy/Default.aspx?tabid=351&language=en-US	null	PDF	null	null	Syrian Arab Republic	4997	SY	null	null	null	null
Vaccination Coverage and Laboratory Confirmed Reports of Infectious Diseases of the Government of the United Kingdom	This website with data contains data about microbiological and epidemiological data, including vaccine coverage reports, published in the weekly health protection reports in the United Kingdom by infection types and years in XLSX, PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage varies, and temporal resolution is weekly, yearly. Open access.	MDC:WS-000477	null	GOV.UK	null	null	null	https://www.gov.uk/government/collections/health-protection-report-latest-infection-reports	null	XLSX; PDF	null	null	United Kingdom	5019	GB	null	null	null	null
Health Profile for Solomon Islands by WHO	This website with data contains data about population and infectious diseases in Solomon Islands at country from 2009 to 2011 on the webpage. Open access.	MDC:WS-000415	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/SolomonIslands.aspx	null	-	null	null	Solomon Islands	5193	SB	null	null	null	null
A Data Query for Infectious Disease Reports of the National Institute for Public Health and the Environment of Netherlands	This website with data contains data about infectious diseases in Netherlands from 2009 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2016, and temporal resolution is yearly. Open access.	MDC:WS-000325	null	RIVM, National Institute for Public Health and the Environment, Netherlands	null	null	null	http://www.rivm.nl/Onderwerpen/M/Meldingsplicht_infectieziekten/Open_rapportages_meldingsplichtige_infectieziekten/Aantal_meldingen_per_infectieziekte_per_jaar	null	HTML	null	null	Netherlands	5197	NL	null	null	null	null
Selected obligatorily reported communicable diseases of the Statistical Office of the Slovak Republic, 1989-2016	This database contains data about typhoid, salmonella, shigellosis,other bacterial intestinal infections, diarrhea and gastroenteritis, whooping cough, scarlet fever, meningococcal infection, tick borne encaphalitis, chickenpox, rubella, acute hepatitis C, acute viral hepatitis, mumps, bacterial meningitis, scabies, pulmonary tuberculosis, syphilis, gonorrhea, HIV, influenza and acute respiratory diseases in Slovakia from 1989 to 2015 year in unknown format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1989-2015, and temporal resolution is yearly. Open acccess.	MDC:WS-000404	null	Statistical Office of the Slovak Republic	null	null	null	http://www.statistics.sk/pls/elisw/objekt.send?uic=1224&m_sso=2&m_so=33&ic=50	null	unknown	null	null	Slovakia	5033	SK	null	null	null	null
Annual Reports on STDs of the National Services Scotland	This website with data contains data about STI incidences in Scotland by diagnostic group, gender and NHS Board of residence and treatment from 1996 to 2009 in XLSX format. Spatial coverage is country, and spatial resolution is area of resindence. Temporal coverage is 1996-2009, and temporal resolution is yearly. Open access.	MDC:WS-000389	null	Information Services, NHS National Services Scotland	null	null	null	http://www.isdscotlandarchive.scot.nhs.uk/isd/4907.html	null	XLSX	null	null	Scotland	5019	GB	null	null	null	null
Statistical Information on Demographics of the Republic of Armenia	This database contains data about demographic in Armenia by year of birth from 1897 to 2015 in CSV, XLSX, PX format. Spatial coverage is country, and spatial resolution is urban, rural. Temporal coverage is 1897-2016, and temporal rsolution is yearly. Open access.	MDC:WS-000019	null	National Statistical Service of Armenia	null	null	null	http://armstatbank.am/pxweb/hy/ArmStatBank/?rxid=d438cc21-682d-4ff9-852c-7e93f36d3257	null	CSV; XLSX; PX	null	null	Armenia	4985	AM	null	null	null	null
Reports on Legionella cases in Italy, 1997-2015	This website with data contains data about cases of legionellosis in Italy from 1997 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 1997-2015, and temporal resolution is yearly. Open access.	MDC:WS-000186	null	Higher Institute of Health, Italy	null	null	null	http://www.iss.it/index.php?lang=1&id=30&tipo=45	null	PDF	null	null	Italy	5195	IT	null	null	null	null
Data on Vital Statistics of the Republic of Azerbaijan	This website with data contains data about yearly demographic, births and deaths in Azerbaijan from 1995 to 2017 in XLSX and PDF format. Spaital coverage is country, and spatial resolution is country. Temporal coverage is 1995-2017. Temporal resolution is yearly. Open acceess.	MDC:WS-000033	null	The State Statistical Committee of the Republic of Azerbaijan, database	null	null	null	http://www.azstat.org/MESearch/search?departament=21&lang=az	null	XLSX; PDF	null	null	Azerbaijan	5113	AZ	null	null	null	null
Demographics and Vital Statistics in Croatia	This website with data contains data about demographic and vital statistics in Croatia from 2007 to 2016 year in XLSX format. Spatial coverage is country, and spatial resolution is country and county. Temporal coverage is 2007-2016, and temporal resolution is yearly. Open access.	MDC:WS-000103	null	Croatian Bureau of Statistics	null	null	null	https://www.dzs.hr/default_e.htm	null	XLSX	null	null	Croatia	5057	HR	null	null	null	null
Demographics and Vital Statistics of the National Institute of Statistics of Spain, 2014-2016	This website with data contains data about demographic and vital statistics in Spain from 2014 to 2016 in CSV, XLS and PX format. Spatial coverage is country, and spatial resolution id country, community, province. Temporal coverage is 2014-2016, and temporal resolution is yearly. Open access.	MDC:WS-000424	null	National Institute of Statistics of Spain	null	null	null	http://www.ine.es/dyngs/INEbase/en/operacion.htm?c=Estadistica_C&cid=1254736176952&menu=resultados&secc=1254736195201&idp=1254735572981	null	CSV; XLS; PX	null	null	Spain	4978	ES	null	null	null	null
Data on HIV and AIDS cases in Italy, 2004-2015	This website with data contains data about HIV/AIDS cases in Italy from 2004 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country, region. Temporal coverage is 2004-2015, and temporal resolution is yearly. Open access.	MDC:WS-000187	null	Higher Institute of Health, Italy	null	null	null	http://www.iss.it/ccoa/?lang=1&id=2&tipo=5	null	PDF	null	null	Italy	5195	IT	null	null	null	null
Annual Data on HIV, AIDS, Tuberculosis and STD cases of the Ministry of Health of Suriname, 1994-2003	This website with data contains data about HIV/AIDS/SOA from Suriname at country or province level with a yearly temporal resolution from 1993 to 2003 in Dutch.	MDC:WS-000429	null	The Ministry of Health of Suriname	null	null	null	http://www.gov.sr/ministerie-van-volksgezondheid/publicaties/data-en-statistieken.aspx	null	PDF	null	null	Suriname	5142	SR	null	null	null	null
Annual Data on Demographics and Mortality of the Statistics Sweden	This database contains data about demographics, 1970-2015, all cause deaths, 1969-1996 and environment in Sweden in SCB, PX and XLSL format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 1970-2015, 1960-1990, 1969-1996, and temporal resolution is yearly. Open access.	MDC:WS-000432	null	Statistics Sweden	null	null	null	http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/?rxid=f45f90b6-7345-4877-ba25-9b43e6c6e299	null	SCB; PX; XLSX	null	null	Sweden	5009	SE	null	null	null	null
Vaccination Coverage in Chile	This website with data contains data about immunization coverage among the population in Chile at country, region and commune level with yearly temporal resolution from 2005 to 2012 in XLSX format in Spanish. Open access.	MDC:WS-000094	null	The Department of Health Statistics and Information of Chile	null	null	null	http://www.deis.cl/cobertura/	null	XLSX	null	null	Chile	4956	CL	null	null	null	null
Data on HIV and AIDS in Czechia	This website with data contains data about HIV/AIDS cases in the Czech Republic by mode of transmission from 2003 to 2016 year in PDF format. Spatial coverage is country, and spatial resolution is countyr. Temporal coverage is 2003-2016, and temporal resolution is yearly. Open acccess.	MDC:WS-000107	null	National Institute of Public Health, Czechia	null	null	null	http://www.szu.cz/tema/prevence/zprava-o-vyskytu-a-sireni-hiv-aids-za-rok-2003	null	PDF	null	null	Czechia	5102	CZ	null	null	null	null
Monthly Data on Infectious Diseases in Macedonia, 2015-2017	This website with data contains data about acute communicable diseases in the Republic of Macedonia from 2015 to 2017 year in PDf format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2015-217, and temporal resolution is monthly. Open access.	MDC:WS-000219	null	Institute of Public Health of the Republic of Macedonia Bulletins	null	null	null	http://www.iph.mk/en/multimedia/monthly-newsletter/	null	PDF	null	null	Macedonia	5134	MK	null	null	null	null
Norwegian Surveillance System for Communicable Diseases (MSIS), 1977-2017	This database contains data about reportable infectious diseases in Norway fom 1977 to 2017 in XLS format. Spatial coverage is country, and spatial resolution is country, county. Temporal coverage is 1977-2017, and temporal resolution is yearly. Open access.	MDC:WS-000345	null	Norwegian Institute of Public Health	null	null	null	http://www.msis.no/	null	XLS	null	null	Norway	5161	NO	null	null	null	null
Demographics, Morbidity, Mortality and Infectious disease Data of the Agency on Statistics under President of the Republic of Tajikistan, 1991-2015	This website with data contains data about yearly demographic, births, deaths, incidences of infectious diseases, tuberculosis, morbidity by ICD in Tajikistan from 2001 to 2015 year in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2001-2015, and temporal resolution is yearly. Open access.	MDC:WS-000440	null	Agency on Statistics under President of the Republic of Tajikistan	null	null	null	http://www.stat.tj/en/database/socio-demographic-sector/	null	XLSX	null	null	Tajikistan	5138	TJ	null	null	null	null
Data on Population Morbidity and Infectious Disease of the Republic of Azerbaijan	This website with data contains data about demographic, mortality, incidences of HVI/AIDS and STDs in Azerbaijan for 2000-2015, 2007- 2015 year in XLSX format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2000-2015, 2007-2015, and temporal resolution is yearly.	MDC:WS-000032	null	The State Statistical Committee of the Republic of Azerbaijan	null	null	null	http://www.stat.gov.az/source/healthcare/?lang=az	null	XLSX	null	null	Azerbaijan	5113	AZ	null	null	null	null
Vaccination Coverage of the National Health Service of England, 2013-2017	This website with data contains data about vaccination coverage in England from 2013 to 2017 in XLSX, XLS, PDF, ZIP format. Spatial coverage is country, and spatial resolution is area. Temporal coverage is 2013-2017, and temporal resolution is 12 months, 24 months, 5 years. Open access.	MDC:WS-000474	null	NHS England	null	null	null	https://www.england.nhs.uk/statistics/statistical-work-areas/child-immunisation/	null	XLSX; XLS; PDF; ZIP	null	null	United Kingdom	5019	GB	null	null	null	null
Vital Statistics in Czechia	This database contains data about demographic and vital statistics in the Czech Republic from 2004 to 2016 year in XLS, HML, PDF format. Spatial coverage is country, and spatial resolution is country, region, district, municipality. Temporal coverage is 2004-2016, and temporal resolution is yearly. Open acccess.	MDC:WS-000108	null	Czech Statistical Office	null	null	null	https://vdb.czso.cz/vdbvo2/faces/en/index.jsf?page=statistiky#katalog=30845	null	XLS; HML; PDF	null	null	Czechia	5102	CZ	null	null	null	null
Demographics and Vital Statistcs in France, 1994-2017	This database contains data about demographic change, births and deaths in France from 1994 to 2017 year in CSV, dBase, Beyond format. Spatial coverage is country, and spatial resolution is country, municipality. Temporal coverage is 1994-2017, and temporal resolution is yearly, monthly. Open access.	MDC:WS-000132	null	National Institute of Statistics and Economic Studies, France	null	null	null	https://www.insee.fr/fr/statistiques?taille=100&debut=0&idprec=2117120&theme=1+2+3&categorie=3+10+19	null	CSV; dBase; Beyond	null	null	France	4998	FR	null	null	null	null
Notifiable Infectious Diseases in Greece, 2004-2016	This website with data contains data about infectious disease cases in Greece, such as epidemiological data for botulism, 2004-2015; brucellosis, 2005-2009; echinococcosis, 2005-2009; Enterohaemorrhagic E. coli infection, 2004-2015; foodborne/ waterborne outbreaks, 2004-2015;hepatitis A, 2000-2016; HIV/AIDS, 2011; listeriosis, 2004-2016; malaria, 2012-2015 and 2005-2009; meningococcal disease, 2004-2014; pertussis, 2004-2014; salmonellosis, 2004-2016; shigellosis, 2004-2016; tuberculosis, 2004-2010; typhoid/paratyphoid fever, 2004-2016; varicella with complications, 2004-2014; West Nile virus human infection, 2011-2014 and weekly reports for 2014 year and surveillence data by month by infections for 2011-2016 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2004-2016, and temporal resolution is weekly, monthly, yearly. Open access.	MDC:WS-000148	null	Hellenic Centre for Disease Control and Prevention (HCDCP), Greece	null	null	null	http://www.keelpno.gr/en-us/epidemiologicalstatisticaldata.aspx	null	PDF	null	null	Greece	5090	GR	null	null	null	null
Statistical Information on morbidity, mortality and infectious diseases in Bosnia and Herzegovina	This website with data contains data about incidences of infectious diseases in Bosnia and Herzegovina from 2003 to 2015 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage 2003-2015, and temporal resolution is yearly. Open access.	MDC:WS-000058	null	Institute for Public Health, Government of Bosnia and Herzegovina	null	null	null	http://www.zzjzfbih.ba/statisticki-godisnjaci/	null	PDF	null	null	Bosnia and Herzegovina	4980	BA	null	null	null	null
Registered Infectious Diseases of the Institute of Public Health of Montenegro	This website with data contains data about registered cases of infectious diseases in Montenegro from 2015 to 2017 year in TXT format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2015-2017, and temporal resolution is monthly. Open access.	MDC:WS-000251	null	Institute of Public Health of Montenegro	null	null	null	http://www.ijzcg.me/?s=MJESE%C4%8CNI+IZVJE%C5%A0TAJ	null	TXT	null	null	Montenegro	5187	ME	null	null	null	null
Health Profile for Tuvalu by WHO	This website with data contains data about population (2002), HIV prevalence in adult(2008), TB mortality rate (2009), TB prevalence rate (2009) from Tuvalu at country level on the webpage. Open access.	MDC:WS-000463	null	World Health Organization, Western Pacific Region (WPRO)	null	null	null	http://hiip.wpro.who.int/portal/Countryprofiles/Tuvalu/HealthProfiles.aspx	null	HTML	null	null	Tuvalu	5089	TV	null	null	null	null
Reports on HIV, AIDS, STD cases in Iceland	This database contains data about cases of AIDS 1985-2015, reported HIV infected individuals 1983-2015, STDs 2000-2015 in Iceland in CSV, XLSX, XML, PX-Axis file format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 1985-2015, 1983-2015, 2000-2015, and temporal resolution is yearly. Open access.	MDC:WS-000171	null	Statistics Iceland	null	null	null	http://px.hagstofa.is/pxis/pxweb/is/Samfelag/Samfelag__heilbrigdismal__lifsvenjur_heilsa__3_sjukdomar/?rxid=67f14366-335a-48c1-8411-a6d29b0c6b65	null	CSV; XLSX; XML; PX-Axis file	null	null	Iceland	4982	IS	null	null	null	null
Annual HIV surveillance data in the UK by demographic characteristics and geographical region, 1985-2015	This website with data contains data about HIV cases in England, Wales, Northern Ireland, Scotland, London and Midlands and East of England, North of England and South of England from 1985 to 2015 in XLSX format. Spatial coverage is country, and spatial resolution is region. Temporal coverage is 1985-2015, and temporal resolution is yearly. Open access.	MDC:WS-000475	null	GOV.UK	null	null	null	https://www.gov.uk/government/statistics/hiv-annual-data-tables	null	XLSX	null	null	United Kingdom	5019	GB	null	null	null	null
Data on Invasive Pneumococcal Disease from the Goverment of Australia	This dataset contains data about Invasive pneumococcal disease in Australia at country level with a yearly temporal resolution from 2009 to 2015 in XLSX, PDF, and DOC format. Spatial coverage is country, and spatial resolution is country, state. Temporal coverage is 2009-2015, and temporal resolution is yearly. Open access.	MDC:WS-000025	null	National Notifiable Diseases Surveillance System, Deaprtment of Health, the Government of Australia	null	null	null	http://www9.health.gov.au/cda/source/pub_pneum.cfm	null	XLSX; PDF; DOC	null	null	Australia	5079	AU	null	null	null	null
Report on the Epidemiological Situation of Ebola Virus Disease	This website with data contains data about epidemic situatuion related to Ebola outbreak in Mali from 2013 to 2014 year in PDF format. Spatial resoluation is country-level, and temporal resolution is monthly. Open access.	MDC:WS-000226	null	Health Map of Mali, Ministry of Health and Public Hygiene of Mali	null	null	null	http://mail.cnom.sante.gov.ml/index.php?option=com_content&view=category&id=109&Itemid=100034	null	PDF	null	null	Mali	30	ML	null	null	null	null
Surveillance Data on Notifiable Infectious Diseases of the Directorate of Health and Social Affairs of New Caledonia	This website with data contains data about infectious disease with high severity from New galedonia at province level from 1997 to 2017 in HTML format in French. Temporal resolution is monthly or yearly. Open access.	MDC:WS-000329	null	Directorate of Health and Social Affairs of New Caledonia	null	null	null	http://www.dass.gouv.nc/portal/page/portal/dass/observatoire_sante/veille_sanitaire/Dengue	null	HTML	null	null	New Caledonia	8013	NC	null	null	null	null
Weekly Epidemiological Bulletins of the Ministry of Health of Uganda, 2016-2017	This website with data contains data about cases of notifiable infectious diseases in Uganda from 2016 to 2017 year in PDF format. Spatial coverage is country, and sparial resolution is national and district. Temporal coverage is 2016-2017, and temporal resolution is weekly. Open access.	MDC:WS-000465	null	Ministry of Health of Uganda	null	null	null	http://library.health.go.ug/search/node/weekly%20bulletin	null	PDF	null	null	Uganda	39	UG	null	null	null	null
Annual Health Statistics Bulletins of the Ministry of Health of Rwanda, 2009-2013	This website with data contains data about rates of vaccination coverage, HIV, tuberculosis and malaria in Rwanda from 2009 to 2013 year in PDF format. Spatial coverage is country, and spatial resolution is country. Temporal coverage is 2009-2013, and temporal resolution is yearly. Open access.	MDC:WS-000377	null	Ministry of Health of Rwanda	null	null	null	http://www.moh.gov.rw/index.php?id=141	null	PDF	null	null	Rwanda	5078	RW	null	null	null	null
